BLOCK HEIGHT | TX KIND  | AMOUNT           | TX ID                                | EXIT CODE    | VALIDATOR 
503901       | claimRewards | -                | 97c7c919...b0945630                  | applied      | tnam1q8l...wvav4amt
500297       | claimRewards | -                | e61cb553...d0e14e30                  | applied      | tnam1q8l...wvav4amt
500297       | bond     | 80.732276        | a4ce0b56...523adb84                  | applied      | tnam1q8l...wvav4amt
498925       | bond     | 161.376700       | 120d59cb...7b9982c0                  | applied      | tnam1q8l...wvav4amt
498925       | claimRewards | -                | 7d1fd950...0494d394                  | applied      | tnam1q8l...wvav4amt
491429       | claimRewards | -                | 561a2c52...d02c7e80                  | applied      | tnam1q8l...wvav4amt
491429       | bond     | 80.699862        | a35de8c0...893bd3fb                  | applied      | tnam1q8l...wvav4amt
488021       | bond     | 80.646106        | 5a84c02f...b8070cfd                  | applied      | tnam1q8l...wvav4amt
488021       | claimRewards | -                | 6ae2c97e...4731efa3                  | applied      | tnam1q8l...wvav4amt
485929       | claimRewards | -                | 346324de...796efc3f                  | applied      | tnam1q8l...wvav4amt
485929       | bond     | 161.302445       | 1e5aa052...b640926d                  | applied      | tnam1q8l...wvav4amt
479049       | bond     | 80.684743        | c47a5688...0473ca61                  | applied      | tnam1q8l...wvav4amt
479049       | claimRewards | -                | 707627ad...44a41cd7                  | applied      | tnam1q8l...wvav4amt
476532       | bond     | 80.688064        | 029cb1d8...ac0520bf                  | applied      | tnam1q8l...wvav4amt
476532       | claimRewards | -                | 950577b9...04f7a338                  | applied      | tnam1q8l...wvav4amt
473617       | bond     | 80.626737        | 2816e67c...8ca06f6b                  | applied      | tnam1q8l...wvav4amt
473617       | claimRewards | -                | 47aea4ed...a6ccd1ff                  | applied      | tnam1q8l...wvav4amt
469922       | bond     | 80.678913        | efa1b6ff...e1bd4f97                  | applied      | tnam1q8l...wvav4amt
469922       | claimRewards | -                | b2ee2571...9f15877d                  | applied      | tnam1q8l...wvav4amt
466543       | claimRewards | -                | a4459a92...14593342                  | applied      | tnam1q8l...wvav4amt
466543       | bond     | 80.638475        | 05655365...69ad9aa4                  | applied      | tnam1q8l...wvav4amt
462813       | claimRewards | -                | 8a4d3325...76170582                  | applied      | tnam1q8l...wvav4amt
462813       | bond     | 241.996302       | c339ce42...efc7d77d                  | applied      | tnam1q8l...wvav4amt
453164       | claimRewards | -                | efc6ff02...6ed1527a                  | applied      | tnam1q8l...wvav4amt
453164       | bond     | 80.649137        | f892231f...d91c4ff9                  | applied      | tnam1q8l...wvav4amt
450606       | bond     | 80.599441        | 0f481f67...c768d7df                  | applied      | tnam1q8l...wvav4amt
450606       | claimRewards | -                | 0cb8b9cb...0bde7a9e                  | applied      | tnam1q8l...wvav4amt
448876       | claimRewards | -                | cd6da9f7...68cf4e04                  | applied      | tnam1q8l...wvav4amt
448876       | bond     | 161.228486       | 41a77d4c...82b2d5cd                  | applied      | tnam1q8l...wvav4amt
440995       | claimRewards | -                | 9dda19a4...8581cc73                  | applied      | tnam1q8l...wvav4amt
440995       | bond     | 80.604298        | d03e3784...01297dbf                  | applied      | tnam1q8l...wvav4amt
438920       | bond     | 82.660876        | 998d0d62...89f45b3f                  | applied      | tnam1q8l...wvav4amt
438920       | claimRewards | -                | 228b7ea6...59ad40af                  | applied      | tnam1q8l...wvav4amt
435699       | claimRewards | -                | 7b3842e8...63b5c539                  | applied      | tnam1q8l...wvav4amt
435699       | bond     | 165.852706       | a08adf7b...6963f4a5                  | applied      | tnam1q8l...wvav4amt
428274       | claimRewards | -                | 85bdca66...6d869e1e                  | applied      | tnam1q8l...wvav4amt
428274       | bond     | 83.989556        | a460357e...868dbcdf                  | applied      | tnam1q8l...wvav4amt
425082       | bond     | 84.013543        | 67c936de...6096ed9c                  | applied      | tnam1q8l...wvav4amt
425082       | claimRewards | -                | 65bdf4ac...5630f0e7                  | applied      | tnam1q8l...wvav4amt
423810       | bond     | 84.007368        | 3f0a4a61...bb48db16                  | applied      | tnam1q8l...wvav4amt
423810       | claimRewards | -                | 69afe28a...0257d92a                  | applied      | tnam1q8l...wvav4amt
418890       | bond     | 83.996031        | d2f7e60c...d17ec1bb                  | applied      | tnam1q8l...wvav4amt
418890       | claimRewards | -                | 3e33e04a...6c8e9f86                  | applied      | tnam1q8l...wvav4amt
416330       | bond     | 83.991765        | 6c99d787...0798a21c                  | applied      | tnam1q8l...wvav4amt
416330       | claimRewards | -                | 696560a7...952d8089                  | applied      | tnam1q8l...wvav4amt
412709       | claimRewards | -                | 905b9538...167af16d                  | applied      | tnam1q8l...wvav4amt
412709       | bond     | 84.076221        | 64b6769f...f5e1cb51                  | applied      | tnam1q8l...wvav4amt
410824       | claimRewards | -                | 2f83590e...6236527c                  | applied      | tnam1q8l...wvav4amt
410824       | bond     | 83.944690        | dc1eb595...bd7cdc7f                  | applied      | tnam1q8l...wvav4amt
406710       | claimRewards | -                | 8c933ddd...fdf3f39b                  | applied      | tnam1q8l...wvav4amt
406710       | bond     | 83.930789        | a586f43f...1ae82747                  | applied      | tnam1q8l...wvav4amt
403517       | bond     | 83.930627        | 24d75e47...17b3ba60                  | applied      | tnam1q8l...wvav4amt
403517       | claimRewards | -                | 40b64f87...aebeb662                  | applied      | tnam1q8l...wvav4amt
400026       | bond     | 83.921775        | 76082c70...6ee8022c                  | applied      | tnam1q8l...wvav4amt
400026       | claimRewards | -                | 0ff32666...2add8f71                  | applied      | tnam1q8l...wvav4amt
399022       | claimRewards | -                | 9b71845f...295ec608                  | applied      | tnam1q8l...wvav4amt
399022       | bond     | 83.909722        | 9dc8a7f5...e4497d9c                  | applied      | tnam1q8l...wvav4amt
394070       | bond     | 83.945728        | a8baf1c7...ef828cf4                  | applied      | tnam1q8l...wvav4amt
394070       | claimRewards | -                | 0e5e5d8b...26710785                  | applied      | tnam1q8l...wvav4amt
390733       | claimRewards | -                | dda2f690...6cd66e4b                  | applied      | tnam1q8l...wvav4amt
390733       | bond     | 83.943718        | c01ba0a7...157a4832                  | applied      | tnam1q8l...wvav4amt
389949       | bond     | 83.992213        | 2291c59f...90976673                  | applied      | tnam1q8l...wvav4amt
389949       | claimRewards | -                | cc0b29a2...f2f6485d                  | applied      | tnam1q8l...wvav4amt
386065       | bond     | 76.419950        | c580ee16...e3615941                  | applied      | tnam1q8l...wvav4amt
386065       | claimRewards | -                | 4dc80002...54851903                  | applied      | tnam1q8l...wvav4amt
381831       | claimRewards | -                | 67d9e57c...953f1ea8                  | applied      | tnam1q8l...wvav4amt
381831       | bond     | 81.088015        | 36761c9d...7d97fc40                  | applied      | tnam1q8l...wvav4amt
380474       | bond     | 90000.000000     | fd7017e1...29159d5a                  | applied      | tnam1q8l...wvav4amt
378202       | bond     | 81.083229        | bbc9c8ea...d5e8f4d9                  | applied      | tnam1q8l...wvav4amt
378202       | claimRewards | -                | 7e5ffb75...96707a15                  | applied      | tnam1q8l...wvav4amt
375487       | bond     | 81.076761        | 2d30e6a7...67b7ed61                  | applied      | tnam1q8l...wvav4amt
375487       | claimRewards | -                | 264255b7...2ff524fe                  | applied      | tnam1q8l...wvav4amt
373093       | bond     | 45.236017        | c267c903...b3c4cd67                  | applied      | tnam1q8l...wvav4amt
373093       | claimRewards | -                | 3846feba...05e3a311                  | applied      | tnam1q8l...wvav4amt
369270       | claimRewards | -                | a6858a51...920f66e8                  | applied      | tnam1q8l...wvav4amt
369270       | bond     | 45.229576        | 1a4104cc...697775de                  | applied      | tnam1q8l...wvav4amt
367150       | bond     | 400000.000000    | 91940b39...53d06767                  | applied      | tnam1q8l...wvav4amt
367141       | bond     | 45.235478        | 259616a7...a4f3ccb3                  | applied      | tnam1q8l...wvav4amt
367141       | claimRewards | -                | 53a25611...eae2c490                  | applied      | tnam1q8l...wvav4amt
363460       | bond     | 45.198757        | 2e49f6dc...61e6e8a2                  | applied      | tnam1q8l...wvav4amt
363460       | claimRewards | -                | b0fa1d48...7283abd5                  | applied      | tnam1q8l...wvav4amt
361825       | bond     | 135.656943       | 4b199f85...4cabcb18                  | applied      | tnam1q8l...wvav4amt
361825       | claimRewards | -                | 1e2daf4f...36fe3ba8                  | applied      | tnam1q8l...wvav4amt
352367       | bond     | 45.212604        | b98bdd03...ed7d653d                  | applied      | tnam1q8l...wvav4amt
352367       | claimRewards | -                | 034359bc...bd451028                  | applied      | tnam1q8l...wvav4amt
349010       | bond     | 135.597128       | 4a03d693...cb0555f3                  | applied      | tnam1q8l...wvav4amt
349010       | claimRewards | -                | 74a78947...a9134edb                  | applied      | tnam1q8l...wvav4amt
338163       | claimRewards | -                | 872aa34a...6b1c4f42                  | applied      | tnam1q8l...wvav4amt
338163       | bond     | 45.236022        | 84bd7940...cf027957                  | applied      | tnam1q8l...wvav4amt
336433       | claimRewards | -                | a3dfe067...39c43bf8                  | applied      | tnam1q8l...wvav4amt
336433       | bond     | 90.456647        | c0036f42...c0849feb                  | applied      | tnam1q8l...wvav4amt
328287       | voteProposal | -                | 37fcb832...813cf754                  | applied      | -         
328280       | claimRewards | -                | 2c6d334a...da6ca138                  | applied      | tnam1q8l...wvav4amt
328280       | bond     | 90.431905        | 433845e2...f857a97f                  | applied      | tnam1q8l...wvav4amt
324054       | claimRewards | -                | 10ae2ac6...e4c76440                  | applied      | tnam1q8l...wvav4amt
